ID,Nombre,Tema,Area,Nota,Unidad,Caracteristica,Definicion,Comentarios,Actualizacion
1,"Población total, según sexo",Estadísticas e Indicadores Sociales,Población,(Traducción en curso ...),"Miles de personas, a mitad del año",Estimaciones y proyecciones anuales de población para el período 1950-2100,"<p align=""justify"">Número de habitantes que viven efectivamente dentro de los límites fronterizos de un país, territorio o área determinada.</p>","<p>Las cifras de población así como indicadores derivados de los 20 países de América Latina y el agregado regional provienen de estimaciones y proyecciones elaboradas por el CELADE- División de Población de CEPAL.</p> 

<p>Las cifras de población así como indicadores derivados de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años para un total de 233 países o áreas con 90.000 habitantes o más en 2015, los que disponen de información desagregada por sexo y edad; Para los 32 países o zonas restantes que se situaron por debajo de ese umbral, sólo se han puesto a disposición poblaciones y tasas de crecimiento totales.<br></p> 

<p>Cabe destacar que las proyecciones hasta el año 2100 están sujetas a un alto grado de incertidumbre, especialmente a nivel de los países. En este sentido, se invita a los usuarios a centrarse no sólo en los resultados de la variante media, que para cada país corresponde a la mediana de varios miles de trayectorias proyectadas de cada componente demográfico, sino también en los intervalos de predicción asociados, que proporcionan una evaluación de la incertidumbre inherente a tales proyecciones.<br></p>

<p>Con respecto al período de proyección, se utilizaron técnicas estadísticas o directrices generales para determinar los caminos que se espera que sigan en el futuro la fecundidad, la mortalidad y la migración internacional. En algunos casos, se requerían desviaciones de estas pautas o trayectorias probabilísticas medianas por defecto. Esto fue principalmente el caso de la proyección de la migración internacional neta y la esperanza de vida al nacer en algunos países y en algunos países donde la prevalencia del VIH / SIDA era todavía relativamente alta en los últimos años.<br></p>
",Aug 13 2019 11:58AM
5,Tasa bruta de mortalidad,Estadísticas e Indicadores Sociales,Población,(Traducción en curso ...),Tasa por 1.000 habitantes,"Estimaciones y proyecciones, según períodos quinquenales, 1950-2100",Mide la frecuencia de las defunciones ocurridas en un período en relación a la población total. Es el cociente entre el número medio anual de defunciones ocurridas durante un período determinado y la población media del mismo periodo.,"<p>Las cifras de población así como indicadores derivados de los 20 países de América Latina y el agregado regional provienen de estimaciones y proyecciones elaboradas por el CELADE- División de Población de CEPAL.</p> 

<p>Las cifras de población así como indicadores derivados de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años para un total de 233 países o áreas con 90.000 habitantes o más en 2015, los que disponen de información desagregada por sexo y edad; Para los 32 países o zonas restantes que se situaron por debajo de ese umbral, sólo se han puesto a disposición poblaciones y tasas de crecimiento totales.<br></p> 

<p>Cabe destacar que las proyecciones hasta el año 2100 están sujetas a un alto grado de incertidumbre, especialmente a nivel de los países. En este sentido, se invita a los usuarios a centrarse no sólo en los resultados de la variante media, que para cada país corresponde a la mediana de varios miles de trayectorias proyectadas de cada componente demográfico, sino también en los intervalos de predicción asociados, que proporcionan una evaluación de la incertidumbre inherente a tales proyecciones.<br></p>

<p>Con respecto al período de proyección, se utilizaron técnicas estadísticas o directrices generales para determinar los caminos que se espera que sigan en el futuro la fecundidad, la mortalidad y la migración internacional. En algunos casos, se requerían desviaciones de estas pautas o trayectorias probabilísticas medianas por defecto. Esto fue principalmente el caso de la proyección de la migración internacional neta y la esperanza de vida al nacer en algunos países y en algunos países donde la prevalencia del VIH / SIDA era todavía relativamente alta en los últimos años.<br></p>
",Sep 23 2019 12:09PM
14,"Tasa de mortalidad infantil, por sexo",Estadísticas e Indicadores Sociales,Salud,(Traducción en curso ...),Muertes por 1.000 nacidos vivos,"Tasas estimadas y proyectadas, según períodos quinquenales, 1950-2100",Probabilidad de morir que tiene un recién nacido antes de cumplir un año de vida.,"<p>Los países de América Latina están cubiertos por la información proporcionada por el CELADE. Los otros países y territorios del Caribe, están cubiertos por la información que proporciona la División de Población de Naciones Unidas. Esta serie está tomada de las estimaciones y proyecciones de la propia División de Población, basada en una revisión de todas las fuentes nacionales disponibles. En los países en desarrollo, en donde los datos de los registros civiles son deficientes, las fuentes más confiables son las encuestas de hogares demográficas. En donde éstas no están disponibles, son usadas otras fuentes y estimaciones de limitada confiabilidad.</p>

<p>La limitación principal de este indicador, según CELADE, es que generalmente las cifras se extraen de registros civiles que adolecen de omisiones, tanto de nacimientos como de defunciones, o que registran ambos hechos con diferentes grados de precisión. Para obviar estos problemas, se adoptaron las tasas de mortalidad infantil elaboradas por el CELADE las que se construyeron sobre la base de las tablas de vida implícitas en las proyecciones de población, en las que se han corregido las anomalías derivadas de errores en el registro de los datos.</p> 

<p>Para dar una cobertura coherente y total al conjunto de los países de América Latina y el Caribe entre ambas fuentes se debe utilizar los resultados con la variante de fecundidad ""recomendada"" o ""media"" por parte de CELADE y la sección ""estimates y medium-variant projections"" del World Populations Prospects (WPP).</p> 

<p>Las cifras de población así como indicadores derivados de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años para un total de 233 países o áreas con 90.000 habitantes o más en 2015, los que disponen de información desagregada por sexo y edad; Para los 32 países o zonas restantes que se situaron por debajo de ese umbral, sólo se han puesto a disposición poblaciones y tasas de crecimiento totales.<br></p> 

<p>Cabe destacar que las proyecciones hasta el año 2100 están sujetas a un alto grado de incertidumbre, especialmente a nivel de los países. En este sentido, se invita a los usuarios a centrarse no sólo en los resultados de la variante media, que para cada país corresponde a la mediana de varios miles de trayectorias proyectadas de cada componente demográfico, sino también en los intervalos de predicción asociados, que proporcionan una evaluación de la incertidumbre inherente a tales proyecciones.<br></p>

<p>Con respecto al período de proyección, se utilizaron técnicas estadísticas o directrices generales para determinar los caminos que se espera que sigan en el futuro la fecundidad, la mortalidad y la migración internacional. En algunos casos, se requerían desviaciones de estas pautas o trayectorias probabilísticas medianas por defecto. Esto fue principalmente el caso de la proyección de la migración internacional neta y la esperanza de vida al nacer en algunos países y en algunos países donde la prevalencia del VIH / SIDA era todavía relativamente alta en los últimos años.<br></p>",Sep 26 2019 11:46AM
28,"Población, por áreas urbana y rural, según sexo",Estadísticas e Indicadores Sociales,Población,(Traducción en curso ...),"Miles de personas, a mitad del año","Estimaciones y proyecciones de población urbana y rural según períodos quinquenales, 1950-2050.","<p>La definición de población por área urbana - rural difiere de un país a otro, por lo que no se puede aplicar una definición única a todos los países. Esta clasificación, en las estadísticas internacionales, se rige por las definiciones locales dadas por los censos nacionales, basadas usualmente en criterios que pueden incluir algunos de los siguientes aspectos: tamaño de población en la localidad, densidad de población, distancia entre áreas comunes, tipo de actividad económica predominante, límites administrativos o legales, nivel de disponibilidad y de acceso a los servicios básicos. Se entiende, en términos generales, que la población que no es urbana, por diferencia es rural.</p>","<p>La División de Población de CEPAL, el Centro Latinoamericano y Caribeño de Demografía (CELADE) elabora las estimaciones y proyecciones de población urbana y rural, por sexo y grupos quinquenales de edad para el período 1950-2050, para los veinte países de América Latina, excepto las correspondientes a Bolivia y Ecuador, de las que se encargaron instituciones nacionales, con la asesoría del CELADE.</p>

<p>En el proceso de elaboración de estas proyecciones se compara la información proveniente de los censos de población más recientes con las proyecciones basadas en censos anteriores, lo que ha permitido la comprobación de que las proyecciones han sido bastante coherentes con los resultados censales. La información básica utilizada en las proyecciones preparadas por el CELADE es: Censos Nacionales, las proyecciones de población total, el método utilizado para proyectar el nivel de urbanización -porcentaje de población urbana por sexo y edad- y la estructura de los porcentajes urbanos por sexo y edad. En cada país se usan criterios diferentes para definir la población según áreas urbana y rural. Por esta razón, las publicaciones internacionales incluyen, usualmente, las definiciones locales (véase Boletín <a href=""http://www.eclac.cl/cgi-bin/getProd.asp?xml=/publicaciones/xml/8/22688/P22688.xml&xsl=/celade/tpl/p9f.xsl&base=/celade/tpl/top-bottom.xslt"">Demográfico No. 76: América Latina: Proyecciones de Población Urbana y Rural 1970-2025 -CELADE</a>.</p>

<p>Las cifras de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años. Estas estimaciones y proyecciones están basadas en censos nacionales o datos de encuestas (evaluados y, en tanto que sea necesario, ajustados por deficiencias e inconsistencias).
Las estimaciones y proyecciones, presentadas en su última revisión del Panorama de Urbanización Mundial, son consistentes con las poblaciones totales nacionales estimadas y proyectadas de acuerdo a la variante media de la última revisión del Panorama de la Población Mundial.</p>

<p>La información proporcionada por la División de Población de Naciones Unidas <b>no publica información por sexo y edad</b>.</p>",Aug  6 2018 11:20AM
31,"Población, por grupos de edad, según sexo",Estadísticas e Indicadores Sociales,Población,(Traducción en curso ...),"Miles de personas, a mitad del año",Estimaciones y proyecciones por grupos quinquenales de edad de la población para el 1950-2100,"<p align=""justify"">Número de habitantes por grupos quinquenales de edad que viven efectivamente dentro de los límites fronterizos de un país, territorio o área determinada.","<p>Las cifras de población así como indicadores derivados de los 20 países de América Latina y el agregado regional provienen de estimaciones y proyecciones elaboradas por el CELADE- División de Población de CEPAL.</p> 

<p>Las cifras de población así como indicadores derivados de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años para un total de 233 países o áreas con 90.000 habitantes o más en 2015, los que disponen de información desagregada por sexo y edad; Para los 32 países o zonas restantes que se situaron por debajo de ese umbral, sólo se han puesto a disposición poblaciones y tasas de crecimiento totales.<br></p> 

<p>Cabe destacar que las proyecciones hasta el año 2100 están sujetas a un alto grado de incertidumbre, especialmente a nivel de los países. En este sentido, se invita a los usuarios a centrarse no sólo en los resultados de la variante media, que para cada país corresponde a la mediana de varios miles de trayectorias proyectadas de cada componente demográfico, sino también en los intervalos de predicción asociados, que proporcionan una evaluación de la incertidumbre inherente a tales proyecciones.<br></p>

<p>Con respecto al período de proyección, se utilizaron técnicas estadísticas o directrices generales para determinar los caminos que se espera que sigan en el futuro la fecundidad, la mortalidad y la migración internacional. En algunos casos, se requerían desviaciones de estas pautas o trayectorias probabilísticas medianas por defecto. Esto fue principalmente el caso de la proyección de la migración internacional neta y la esperanza de vida al nacer en algunos países y en algunos países donde la prevalencia del VIH / SIDA era todavía relativamente alta en los últimos años.<br></p>
",Aug 15 2019  1:04PM
33,"Distribución porcentual de la población en áreas urbana y rural, por sexo",Estadísticas e Indicadores Sociales,Población,(Traducción en curso ...),Porcentaje,"Estimaciones y proyecciones de población urbana y rural según períodos quinquenales, 1950-2050","Corresponde a la proporción de la población que habita en el área urbana o rural. La definición de población por área urbana - rural difiere de un país a otro, por lo que no se puede aplicar una definición única a todos los países. Esta clasificación, en las estadísticas internacionales, se rige por las definiciones locales dadas por los censos nacionales, basadas usualmente en criterios que pueden incluir algunos de los siguientes aspectos: tamaño de población en la localidad, densidad de población, distancia entre áreas comunes, tipo de actividad económica predominante, límites administrativos o legales, nivel de disponibilidad y de acceso a los servicios básicos. Se entiende, en términos generales, que la población que no es urbana, por diferencia es rural.</p>","<p>La División de Población de CEPAL, el Centro Latinoamericano y Caribeño de Demografía (CELADE) elabora las estimaciones y proyecciones de población urbana y rural, por sexo y grupos quinquenales de edad para el período 1950-2050, para los veinte países de América Latina, excepto las correspondientes a Bolivia y Ecuador, de las que se encargaron instituciones nacionales, con la asesoría del CELADE.</p>

<p>En el proceso de elaboración de estas proyecciones se compara la información proveniente de los censos de población más recientes con las proyecciones basadas en censos anteriores, lo que ha permitido la comprobación de que las proyecciones han sido bastante coherentes con los resultados censales. La información básica utilizada en las proyecciones preparadas por el CELADE es: Censos Nacionales, las proyecciones de población total, el método utilizado para proyectar el nivel de urbanización -porcentaje de población urbana por sexo y edad- y la estructura de los porcentajes urbanos por sexo y edad. En cada país se usan criterios diferentes para definir la población según áreas urbana y rural. Por esta razón, las publicaciones internacionales incluyen, usualmente, las definiciones locales (véase Boletín <a href=""http://www.eclac.cl/cgi-bin/getProd.asp?xml=/publicaciones/xml/8/22688/P22688.xml&xsl=/celade/tpl/p9f.xsl&base=/celade/tpl/top-bottom.xslt"">Demográfico No. 76: América Latina: Proyecciones de Población Urbana y Rural 1970-2025 -CELADE</a>.</p>

<p>Las cifras de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años. Estas estimaciones y proyecciones están basadas en censos nacionales o datos de encuestas (evaluados y, en tanto que sea necesario, ajustados por deficiencias e inconsistencias).
Las estimaciones y proyecciones, presentadas en su última revisión del Panorama de Urbanización Mundial, son consistentes con las poblaciones totales nacionales estimadas y proyectadas de acuerdo a la variante media de la última revisión del Panorama de la Población Mundial.</p>

<p>La información proporcionada por la División de Población de Naciones Unidas <b>no publica información por sexo y edad</b>.</p>",Aug  6 2018 12:50PM
35,"Relación de dependencia demográfica, por grupos dependientes, según sexo",Estadísticas e Indicadores Sociales,Población,(Traducción en curso ...),Porcentaje,"Estimaciones y proyecciones por períodos quinquenales, 1950-2100","<p align=""justify"">Corresponde a una medida demográfica para expresar la relación de la población, en términos de edad, entre las personas potencialmente activas y las personas potencialmente dependientes (inactivas). Normalmente se utilizan tres medidas: la relación de dependencia total, la infantil y la de adultos mayores.</p>","<p>Las cifras de población así como indicadores derivados de los 20 países de América Latina y el agregado regional provienen de estimaciones y proyecciones elaboradas por el CELADE- División de Población de CEPAL.</p> 

<p>Las cifras de población así como indicadores derivados de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años para un total de 233 países o áreas con 90.000 habitantes o más en 2015, los que disponen de información desagregada por sexo y edad; Para los 32 países o zonas restantes que se situaron por debajo de ese umbral, sólo se han puesto a disposición poblaciones y tasas de crecimiento totales.<br></p> 

<p>Cabe destacar que las proyecciones hasta el año 2100 están sujetas a un alto grado de incertidumbre, especialmente a nivel de los países. En este sentido, se invita a los usuarios a centrarse no sólo en los resultados de la variante media, que para cada país corresponde a la mediana de varios miles de trayectorias proyectadas de cada componente demográfico, sino también en los intervalos de predicción asociados, que proporcionan una evaluación de la incertidumbre inherente a tales proyecciones.<br></p>

<p>Con respecto al período de proyección, se utilizaron técnicas estadísticas o directrices generales para determinar los caminos que se espera que sigan en el futuro la fecundidad, la mortalidad y la migración internacional. En algunos casos, se requerían desviaciones de estas pautas o trayectorias probabilísticas medianas por defecto. Esto fue principalmente el caso de la proyección de la migración internacional neta y la esperanza de vida al nacer en algunos países y en algunos países donde la prevalencia del VIH / SIDA era todavía relativamente alta en los últimos años.<br></p>
",Oct  2 2019 12:59PM
36,"Tasa de crecimiento de la población total, nacional y por áreas urbana y rural",Estadísticas e Indicadores Sociales,Población,(Traducción en curso ...),"Tasas anuales medias, por cada 100 habitantes","Tasas anuales medias estimadas y proyectadas, según períodos quinquenales, 1950-2100","<p align=""justify"">Es la razón entre el incremento medio anual total observado en una población durante un período determinado y la población media de ese mismo período. Puede definirse también como la suma algebraica de la tasa de crecimiento natural y la tasa de migración.</p>","<p>Las cifras de población así como indicadores derivados de los 20 países de América Latina y el agregado regional provienen de estimaciones y proyecciones elaboradas por el CELADE- División de Población de CEPAL.</p> 

<p>Las cifras de población así como indicadores derivados de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años para un total de 233 países o áreas con 90.000 habitantes o más en 2015, los que disponen de información desagregada por sexo y edad; Para los 32 países o zonas restantes que se situaron por debajo de ese umbral, sólo se han puesto a disposición poblaciones y tasas de crecimiento totales.<br></p> 

<p>Cabe destacar que las proyecciones hasta el año 2100 están sujetas a un alto grado de incertidumbre, especialmente a nivel de los países. En este sentido, se invita a los usuarios a centrarse no sólo en los resultados de la variante media, que para cada país corresponde a la mediana de varios miles de trayectorias proyectadas de cada componente demográfico, sino también en los intervalos de predicción asociados, que proporcionan una evaluación de la incertidumbre inherente a tales proyecciones.<br></p>

<p>Con respecto al período de proyección, se utilizaron técnicas estadísticas o directrices generales para determinar los caminos que se espera que sigan en el futuro la fecundidad, la mortalidad y la migración internacional. En algunos casos, se requerían desviaciones de estas pautas o trayectorias probabilísticas medianas por defecto. Esto fue principalmente el caso de la proyección de la migración internacional neta y la esperanza de vida al nacer en algunos países y en algunos países donde la prevalencia del VIH / SIDA era todavía relativamente alta en los últimos años.<br></p>

<p>En el boletín Demográfico del CELADE, el indicador es presentado 1,000 habitantes. Las cifras han sido transformadas a porcentajes para unificar la unidad de medida. </p>",Sep 13 2019 11:34AM
37,Tasa global de fecundidad,Estadísticas e Indicadores Sociales,Población,(Traducción en curso ...),Número de hijos por mujer,"Estimaciones y proyecciones, según períodos quinquenales, 1950-2100","<p align=""justify"">Es el número de hijos que en promedio tendría una mujer de una cohorte hipotética de mujeres que durante su vida fértil tuvieran sus hijos de acuerdo a las tasas de fecundidad por edad del período en estudio y no estuvieran expuestas a riesgos de mortalidad desde el nacimiento hasta la finalización del período fértil.</p>","<p>Las cifras de población así como indicadores derivados de los 20 países de América Latina y el agregado regional provienen de estimaciones y proyecciones elaboradas por el CELADE- División de Población de CEPAL.</p> 

<p>Las cifras de población así como indicadores derivados de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años para un total de 233 países o áreas con 90.000 habitantes o más en 2015, los que disponen de información desagregada por sexo y edad; Para los 32 países o zonas restantes que se situaron por debajo de ese umbral, sólo se han puesto a disposición poblaciones y tasas de crecimiento totales.<br></p> 

<p>Cabe destacar que las proyecciones hasta el año 2100 están sujetas a un alto grado de incertidumbre, especialmente a nivel de los países. En este sentido, se invita a los usuarios a centrarse no sólo en los resultados de la variante media, que para cada país corresponde a la mediana de varios miles de trayectorias proyectadas de cada componente demográfico, sino también en los intervalos de predicción asociados, que proporcionan una evaluación de la incertidumbre inherente a tales proyecciones.<br></p>

<p>Con respecto al período de proyección, se utilizaron técnicas estadísticas o directrices generales para determinar los caminos que se espera que sigan en el futuro la fecundidad, la mortalidad y la migración internacional. En algunos casos, se requerían desviaciones de estas pautas o trayectorias probabilísticas medianas por defecto. Esto fue principalmente el caso de la proyección de la migración internacional neta y la esperanza de vida al nacer en algunos países y en algunos países donde la prevalencia del VIH / SIDA era todavía relativamente alta en los últimos años.<br></p>

<p>Por lo general se trabaja con mujeres de 15 a 44 años o de 15 a 49 años.</p>",Sep 23 2019 11:56AM
38,"Esperanza de vida al nacer, según sexo",Estadísticas e Indicadores Sociales,Población,(Traducción en curso ...),Número de años,"Estimaciones y proyecciones, según períodos quinquenales, 1950-2100.","Representa la duración media de la vida de los individuos, que integran una cohorte hipotética de nacimientos, sometidos en todas las edades a los riesgos de mortalidad del período en estudio","<p>Las cifras de población así como indicadores derivados de los 20 países de América Latina y el agregado regional provienen de estimaciones y proyecciones elaboradas por el CELADE- División de Población de CEPAL.</p> 

<p>Las cifras de población así como indicadores derivados de los países y territorios del Caribe provienen de estimaciones y proyecciones elaboradas por la División de Población de las Naciones Unidas y publicadas cada dos años para un total de 233 países o áreas con 90.000 habitantes o más en 2015, los que disponen de información desagregada por sexo y edad; Para los 32 países o zonas restantes que se situaron por debajo de ese umbral, sólo se han puesto a disposición poblaciones y tasas de crecimiento totales.<br></p> 

<p>Cabe destacar que las proyecciones hasta el año 2100 están sujetas a un alto grado de incertidumbre, especialmente a nivel de los países. En este sentido, se invita a los usuarios a centrarse no sólo en los resultados de la variante media, que para cada país corresponde a la mediana de varios miles de trayectorias proyectadas de cada componente demográfico, sino también en los intervalos de predicción asociados, que proporcionan una evaluación de la incertidumbre inherente a tales proyecciones.<br></p>

<p>Con respecto al período de proyección, se utilizaron técnicas estadísticas o directrices generales para determinar los caminos que se espera que sigan en el futuro la fecundidad, la mortalidad y la migración internacional. En algunos casos, se requerían desviaciones de estas pautas o trayectorias probabilísticas medianas por defecto. Esto fue principalmente el caso de la proyección de la migración internacional neta y la esperanza de vida al nacer en algunos países y en algunos países donde la prevalencia del VIH / SIDA era todavía relativamente alta en los últimos años.<br></p>",Sep 23 2019 12:37PM
